case_001.txt	faces=2	max_face=12	vertices=12	edges=12	base_points=3 subdivisions=3 seed=890198707
case_002.txt	faces=3	max_face=16	vertices=19	edges=20	base_points=4 subdivisions=3 seed=743606962
case_003.txt	faces=4	max_face=12	vertices=22	edges=24	base_points=4 subdivisions=3 seed=1792402772
case_004.txt	faces=4	max_face=20	vertices=26	edges=28	base_points=5 subdivisions=3 seed=908759987
case_005.txt	faces=5	max_face=16	vertices=29	edges=32	base_points=5 subdivisions=3 seed=1496694341
case_006.txt	faces=5	max_face=16	vertices=29	edges=32	base_points=5 subdivisions=3 seed=1196969205
case_007.txt	faces=5	max_face=24	vertices=33	edges=36	base_points=6 subdivisions=3 seed=417468100
case_008.txt	faces=5	max_face=24	vertices=33	edges=36	base_points=6 subdivisions=3 seed=253016204
case_009.txt	faces=5	max_face=24	vertices=33	edges=36	base_points=6 subdivisions=3 seed=686791951
case_010.txt	faces=6	max_face=12	vertices=32	edges=36	base_points=5 subdivisions=3 seed=365956961
case_011.txt	faces=6	max_face=16	vertices=36	edges=40	base_points=6 subdivisions=3 seed=46093593
case_012.txt	faces=6	max_face=16	vertices=36	edges=40	base_points=6 subdivisions=3 seed=309311202
case_013.txt	faces=6	max_face=16	vertices=36	edges=40	base_points=6 subdivisions=3 seed=1966042584
case_014.txt	faces=6	max_face=20	vertices=36	edges=40	base_points=6 subdivisions=3 seed=2074416602
case_015.txt	faces=6	max_face=20	vertices=40	edges=44	base_points=7 subdivisions=3 seed=1952103444
case_016.txt	faces=6	max_face=28	vertices=40	edges=44	base_points=7 subdivisions=3 seed=1318581983
case_017.txt	faces=6	max_face=28	vertices=40	edges=44	base_points=7 subdivisions=3 seed=1001778552
case_018.txt	faces=7	max_face=16	vertices=39	edges=44	base_points=6 subdivisions=3 seed=829972678
case_019.txt	faces=7	max_face=16	vertices=39	edges=44	base_points=6 subdivisions=3 seed=680319134
case_020.txt	faces=7	max_face=16	vertices=39	edges=44	base_points=6 subdivisions=3 seed=1899813049
case_021.txt	faces=7	max_face=20	vertices=43	edges=48	base_points=7 subdivisions=3 seed=353186718
case_022.txt	faces=7	max_face=24	vertices=43	edges=48	base_points=7 subdivisions=3 seed=1052197065
case_023.txt	faces=7	max_face=24	vertices=43	edges=48	base_points=7 subdivisions=3 seed=311315967
case_024.txt	faces=8	max_face=12	vertices=42	edges=48	base_points=6 subdivisions=3 seed=136596082
case_025.txt	faces=8	max_face=20	vertices=46	edges=52	base_points=7 subdivisions=3 seed=2094754639
case_026.txt	faces=8	max_face=20	vertices=46	edges=52	base_points=7 subdivisions=3 seed=633906082
case_027.txt	faces=8	max_face=20	vertices=46	edges=52	base_points=7 subdivisions=3 seed=1961695379
case_028.txt	faces=8	max_face=24	vertices=50	edges=56	base_points=8 subdivisions=3 seed=1725032707
case_029.txt	faces=8	max_face=28	vertices=50	edges=56	base_points=8 subdivisions=3 seed=177844558
case_030.txt	faces=9	max_face=16	vertices=49	edges=56	base_points=7 subdivisions=3 seed=319508408
case_031.txt	faces=9	max_face=20	vertices=53	edges=60	base_points=8 subdivisions=3 seed=1392623362
case_032.txt	faces=9	max_face=24	vertices=53	edges=60	base_points=8 subdivisions=3 seed=1939081320
case_033.txt	faces=9	max_face=24	vertices=53	edges=60	base_points=8 subdivisions=3 seed=104992105
case_034.txt	faces=9	max_face=24	vertices=53	edges=60	base_points=8 subdivisions=3 seed=1609174291
case_035.txt	faces=10	max_face=12	vertices=52	edges=60	base_points=7 subdivisions=3 seed=1460198427
case_036.txt	faces=10	max_face=20	vertices=60	edges=68	base_points=9 subdivisions=3 seed=46766047
case_037.txt	faces=10	max_face=20	vertices=56	edges=64	base_points=8 subdivisions=3 seed=232017174
case_038.txt	faces=10	max_face=20	vertices=56	edges=64	base_points=8 subdivisions=3 seed=551027181
case_039.txt	faces=10	max_face=20	vertices=56	edges=64	base_points=8 subdivisions=3 seed=1680730870
case_040.txt	faces=10	max_face=28	vertices=60	edges=68	base_points=9 subdivisions=3 seed=1397714213
case_041.txt	faces=11	max_face=16	vertices=59	edges=68	base_points=8 subdivisions=3 seed=986372315
case_042.txt	faces=11	max_face=16	vertices=59	edges=68	base_points=8 subdivisions=3 seed=27516269
case_043.txt	faces=11	max_face=16	vertices=59	edges=68	base_points=8 subdivisions=3 seed=1116368354
case_044.txt	faces=11	max_face=24	vertices=63	edges=72	base_points=9 subdivisions=3 seed=138795041
case_045.txt	faces=11	max_face=24	vertices=63	edges=72	base_points=9 subdivisions=3 seed=77720739
case_046.txt	faces=11	max_face=24	vertices=63	edges=72	base_points=9 subdivisions=3 seed=284503814
case_047.txt	faces=11	max_face=32	vertices=67	edges=76	base_points=10 subdivisions=3 seed=410103725
case_048.txt	faces=12	max_face=20	vertices=66	edges=76	base_points=9 subdivisions=3 seed=1295869344
case_049.txt	faces=12	max_face=20	vertices=66	edges=76	base_points=9 subdivisions=3 seed=410932768
case_050.txt	faces=12	max_face=20	vertices=66	edges=76	base_points=9 subdivisions=3 seed=1980377935
case_051.txt	faces=12	max_face=20	vertices=66	edges=76	base_points=9 subdivisions=3 seed=1356563244
case_052.txt	faces=12	max_face=24	vertices=70	edges=80	base_points=10 subdivisions=3 seed=630004326
case_053.txt	faces=13	max_face=16	vertices=69	edges=80	base_points=9 subdivisions=3 seed=1346185843
case_054.txt	faces=13	max_face=16	vertices=69	edges=80	base_points=9 subdivisions=3 seed=372102493
case_055.txt	faces=13	max_face=16	vertices=69	edges=80	base_points=9 subdivisions=3 seed=1723587456
case_056.txt	faces=13	max_face=24	vertices=73	edges=84	base_points=10 subdivisions=3 seed=2074382949
case_057.txt	faces=13	max_face=24	vertices=73	edges=84	base_points=10 subdivisions=3 seed=2061061379
case_058.txt	faces=13	max_face=24	vertices=73	edges=84	base_points=10 subdivisions=3 seed=1351366432
case_059.txt	faces=13	max_face=24	vertices=73	edges=84	base_points=10 subdivisions=3 seed=565669866
case_060.txt	faces=14	max_face=20	vertices=76	edges=88	base_points=10 subdivisions=3 seed=993704495
case_061.txt	faces=14	max_face=20	vertices=76	edges=88	base_points=10 subdivisions=3 seed=2059502664
case_062.txt	faces=14	max_face=20	vertices=76	edges=88	base_points=10 subdivisions=3 seed=770026780
case_063.txt	faces=14	max_face=24	vertices=80	edges=92	base_points=11 subdivisions=3 seed=319690433
case_064.txt	faces=14	max_face=24	vertices=80	edges=92	base_points=11 subdivisions=3 seed=1173160867
case_065.txt	faces=14	max_face=24	vertices=80	edges=92	base_points=11 subdivisions=3 seed=1276251352
case_066.txt	faces=14	max_face=28	vertices=80	edges=92	base_points=11 subdivisions=3 seed=585950678
case_067.txt	faces=15	max_face=16	vertices=79	edges=92	base_points=10 subdivisions=3 seed=742191505
case_068.txt	faces=15	max_face=24	vertices=83	edges=96	base_points=11 subdivisions=3 seed=1290263608
case_069.txt	faces=15	max_face=24	vertices=83	edges=96	base_points=11 subdivisions=3 seed=2049875809
case_070.txt	faces=15	max_face=24	vertices=83	edges=96	base_points=11 subdivisions=3 seed=12897235
case_071.txt	faces=15	max_face=24	vertices=83	edges=96	base_points=11 subdivisions=3 seed=1466294000
case_072.txt	faces=15	max_face=32	vertices=87	edges=100	base_points=12 subdivisions=3 seed=1877277797
case_073.txt	faces=16	max_face=20	vertices=86	edges=100	base_points=11 subdivisions=3 seed=1611492
case_074.txt	faces=16	max_face=28	vertices=90	edges=104	base_points=12 subdivisions=3 seed=1756311103
case_075.txt	faces=16	max_face=28	vertices=90	edges=104	base_points=12 subdivisions=3 seed=2086145034
case_076.txt	faces=16	max_face=28	vertices=90	edges=104	base_points=12 subdivisions=3 seed=327660363
case_077.txt	faces=16	max_face=32	vertices=94	edges=108	base_points=13 subdivisions=3 seed=868051411
case_078.txt	faces=16	max_face=36	vertices=94	edges=108	base_points=13 subdivisions=3 seed=1437977900
case_079.txt	faces=17	max_face=16	vertices=89	edges=104	base_points=11 subdivisions=3 seed=1536991758
case_080.txt	faces=17	max_face=20	vertices=93	edges=108	base_points=12 subdivisions=3 seed=1845651632
case_081.txt	faces=17	max_face=24	vertices=93	edges=108	base_points=12 subdivisions=3 seed=40668615
case_082.txt	faces=17	max_face=24	vertices=93	edges=108	base_points=12 subdivisions=3 seed=1609156937
case_083.txt	faces=17	max_face=24	vertices=93	edges=108	base_points=12 subdivisions=3 seed=1090705145
case_084.txt	faces=17	max_face=32	vertices=97	edges=112	base_points=13 subdivisions=3 seed=1168999955
case_085.txt	faces=18	max_face=20	vertices=96	edges=112	base_points=12 subdivisions=3 seed=1464261768
case_086.txt	faces=18	max_face=28	vertices=100	edges=116	base_points=13 subdivisions=3 seed=23179224
case_087.txt	faces=18	max_face=28	vertices=100	edges=116	base_points=13 subdivisions=3 seed=1919384991
case_088.txt	faces=18	max_face=28	vertices=100	edges=116	base_points=13 subdivisions=3 seed=1965130693
case_089.txt	faces=18	max_face=32	vertices=104	edges=120	base_points=14 subdivisions=3 seed=826784340
case_090.txt	faces=19	max_face=24	vertices=103	edges=120	base_points=13 subdivisions=3 seed=1645113952
case_091.txt	faces=19	max_face=24	vertices=103	edges=120	base_points=13 subdivisions=3 seed=337768405
case_092.txt	faces=19	max_face=24	vertices=103	edges=120	base_points=13 subdivisions=3 seed=1726173282
case_093.txt	faces=19	max_face=32	vertices=107	edges=124	base_points=14 subdivisions=3 seed=1344150712
case_094.txt	faces=19	max_face=32	vertices=107	edges=124	base_points=14 subdivisions=3 seed=1472534327
case_095.txt	faces=19	max_face=32	vertices=107	edges=124	base_points=14 subdivisions=3 seed=1242798467
case_096.txt	faces=20	max_face=20	vertices=106	edges=124	base_points=13 subdivisions=3 seed=196690528
case_097.txt	faces=20	max_face=28	vertices=110	edges=128	base_points=14 subdivisions=3 seed=1081824959
case_098.txt	faces=20	max_face=28	vertices=110	edges=128	base_points=14 subdivisions=3 seed=846854824
case_099.txt	faces=20	max_face=36	vertices=114	edges=132	base_points=15 subdivisions=3 seed=1784030703
case_100.txt	faces=20	max_face=36	vertices=114	edges=132	base_points=15 subdivisions=3 seed=1261552839
